OBJECTID,NAME,WMD,WMD_NUMBER,SHAPEAREA,SHAPELEN
1,St. Andrew Bay,NWFWMD,,3028728919.39665,1331014.68193874
2,Apalachicola River,NWFWMD,,7381062268.91919,1224587.31393615
3,Pensacola Bay System,NWFWMD,,6066120639.71984,1152937.89462898
4,Perdido River,NWFWMD,,890909147.451279,406318.52817307
5,Ochlockonee River,NWFWMD,,3367390165.31188,549209.805165136
6,St. Marks River,NWFWMD,,2742349846.96803,909008.559003405
7,Choctawhatchee River,NWFWMD,,5400057724.45196,893570.825506683
8,Aucilla River,SRWMD,2,1901949219.2379,298106.331122906
9,Coastal Rivers,SRWMD,3,4814990817.90252,447614.677571837
10,Suwannee River,SRWMD,1,10780869869.1936,808270.453210863
11,Waccasassa River,SRWMD,4,2303320070.42333,614651.592473355
12,Halifax River,SJRWMD,17,1018633038.32114,225931.656410187
13,Southern St. Johns River,SJRWMD,20,3880655831.38074,413516.756983377
14,St. Marys River - Upper St. Marys River SJRWMD,SJRWMD,1,1841308188.31108,308766.266411677
15,Econlockhatchee River Nested,SJRWMD,19,688319518.170971,216122.175891171
16,Wekiva River Nested,SJRWMD,15,972338025.112044,241669.253182523
17,Middle & Lower St. Marys River,SJRWMD,2,800862654.525429,349698.508163865
18,Nassau River,SJRWMD,3,1115473810.88588,257649.310969262
19,Pellicer Creek & Matanzas River,SJRWMD,9,681389335.352431,191035.229633395
20,Ocklawaha River - Florida Ridge,SJRWMD,10,2076508486.80696,397212.483334805
21,Lake Jesup,SJRWMD,23,375944650.54794,137563.006723111
22,Northern Indian River Lagoon,SJRWMD,21,1503560478.77518,276162.905338442
23,Central Indian River Lagoon,SJRWMD,22,982793753.494452,202813.878085709
24,Tolomato River & Intracoastal Nested,SJRWMD,6,437467205.960886,154573.047474556
25,St. Johns River (Welaka To Bayard),SJRWMD,8,1738554583.51838,301201.04118727
26,Crescent Lake,SJRWMD,16,1542959134.5983,324160.737948885
27,Sixmile & Julington Creeks Nested,SJRWMD,5,594599353.387433,174495.117339263
28,Western Etoniah Lakes,SJRWMD,7,357161857.671715,123979.914895355
29,Palatlakaha River Nested,SJRWMD,13,575441582.16591,275290.809240517
30,Northern St. Johns River & Northern Coastal,SJRWMD,4,2700705716.95861,359690.624381712
31,Myakka River,SWFWMD,,1526991123.98727,473821.765355204
32,South Coastal Drainage,SWFWMD,,872800116.184695,1281912.28731676
33,Peace River Basin,SWFWMD,,6025491032.76731,1010750.78078323
34,Withlacoochee River,SWFWMD,,4782588121.61921,618252.689069449
35,Tampa Bay Drainage,SWFWMD,,1366389778.83891,1891131.08448444
36,Upper Coastal Drainage,SWFWMD,,2863855147.73584,3787093.05138034
37,Hillsborough River,SWFWMD,,1746130457.42585,392157.834512298
38,Alafia River,SWFWMD,,1090434754.48617,230352.973682481
39,Little Manatee River,SWFWMD,,569887413.490392,303022.475270668
40,Manatee River,SWFWMD,,902279327.34429,526709.782763064
41,Kissimmee Ridge,SWFWMD,,1423594480.01626,407131.553243585
42,Charlotte Harbor Drainage,SWFWMD,,371293836.011337,545825.238367162
43,C-25,SFWMD,12,380848876.907573,111862.733729492
44,St. Lucie,SFWMD,17,1156835203.29189,245367.041829837
45,C-44,SFWMD,18,495105046.048018,128992.694643045
46,Nubbin Slough,SFWMD,15,539244676.15225,148296.897910726
47,Loxahatchee River,SFWMD,19,822068893.334566,163388.135798262
48,East Caloosahatchee,SFWMD,22,1157155698.30656,193577.329597547
49,Everglades,SFWMD,20,10502756990.5741,757668.580692056
50,L-28 Interceptor,SFWMD,28,1792202229.67492,224082.589507566
51,Lake Gentry,SFWMD,6,433298627.838151,115422.875780507
52,West Collier,SFWMD,26,2671588799.03608,248097.045801935
53,East Everglades,SFWMD,31,1957838142.04499,247862.426801899
54,Biscayne Bay,SFWMD,32,139148990.263441,80288.9196107214
55,New River,SFWMD,30,1125959651.97738,162905.327915535
56,Eastern Palm Beach County,SFWMD,29,1264099758.17568,201240.782479234
57,Boggy Creek,SFWMD,3,224352633.952268,79959.9774766354
58,Lake Kissimmee,SFWMD,8,1015399149.49599,217996.632589568
59,Middle Kissimmee,SFWMD,10,455910532.767996,126840.215437535
60,Reedy Creek,SFWMD,1,594721674.868275,170854.350894115
61,Lake Hatchineha,SFWMD,7,256417787.115979,95908.0644449073
62,West Caloosahatchee,SFWMD,23,1319691037.65614,200699.888004767
63,North Kissimmee,SFWMD,9,419604199.331407,111403.816890485
64,East Collier,SFWMD,27,3106405168.91056,328385.048065393
65,Estero Bay,SFWMD,25,751524041.001177,160862.010685217
66,C-23,SFWMD,14,431603479.314075,139962.425792877
67,Fisheating Creek,SFWMD,16,1321337976.13124,259911.110767226
68,Lake Okeechobee,SFWMD,21,1805464652.28183,173293.742227884
69,Lake Arbuckle,SFWMD,0,449496648.432927,131404.718214201
70,Shingle Creek,SFWMD,2,286832260.570571,103836.235137988
71,Lake Tohopekaliga,SFWMD,5,341422812.720687,98010.0884152661
72,C-24,SFWMD,13,430780318.108855,141096.348985773
73,South Kissimmee,SFWMD,11,2245097101.66504,311808.868503549
74,Lake Hart,SFWMD,4,447833042.480891,135593.816751049
75,Northern Ocklawaha River,SJRWMD,11,2781587743.08674,485053.108981445
76,Southern Ocklawaha River,SJRWMD,12,2449075770.76832,569915.89925782
77,Tidal Caloosahatchee,SFWMD,24,1421440699.35033,237084.65795094
78,Ocoee Drain,SJRWMD,14,41328419.7002085,36041.0503343568
79,St. Johns River (Wekiva To Welaka),SJRWMD,14,2115021266.02349,356524.969787656
80,St. Johns River (Canaveral Marshes To Wekiva),SJRWMD,18,2117755316.58758,365790.404297573
